generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.Max_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.Min_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.ParetoMean_pareto,
0,1383149733319,1383149733319,100.0,0.0,33.333333333333336,
1,1383149733319,1383149733319,100.0,0.0,31.277777777777775,
2,1383149733319,1383149733319,100.0,0.0,29.11111111111111,
3,1383149733319,1383149733319,100.0,0.0,26.916666666666668,
4,1383149733319,1383149733319,100.0,0.0,26.83333333333333,
5,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
6,1383149733319,1383149733319,100.0,0.0,26.75,
7,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
8,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
9,1383149733319,1383149733319,100.0,0.0,26.75,
10,1383149733319,1383149733319,100.0,0.0,26.75,
11,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
12,1383149733319,1383149733319,100.0,0.0,26.75,
13,1383149733319,1383149733319,100.0,0.0,26.75,
14,1383149733319,1383149733319,100.0,0.0,26.75,
15,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
16,1383149733319,1383149733319,100.0,0.0,26.75,
17,1383149733319,1383149733319,100.0,0.0,26.75,
18,1383149733319,1383149733319,100.0,0.0,26.75,
19,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
20,1383149733319,1383149733319,100.0,0.0,26.75,
21,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
22,1383149733319,1383149733319,100.0,0.0,26.75,
23,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
24,1383149733319,1383149733319,100.0,0.0,26.75,
25,1383149733319,1383149733319,100.0,0.0,26.75,
26,1383149733319,1383149733319,100.0,0.0,26.75,
27,1383149733319,1383149733319,100.0,0.0,26.75,
28,1383149733319,1383149733319,100.0,0.0,26.75,
29,1383149733319,1383149733319,100.0,0.0,26.75,
30,1383149733319,1383149733319,100.0,0.0,26.75,
31,1383149733319,1383149733319,100.0,0.0,26.75,
32,1383149733319,1383149733319,100.0,0.0,26.75,
33,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
34,1383149733319,1383149733319,100.0,0.0,26.75,
35,1383149733319,1383149733319,100.0,0.0,26.75,
36,1383149733319,1383149733319,100.0,0.0,26.75,
37,1383149733319,1383149733319,100.0,0.0,26.75,
38,1383149733319,1383149733319,100.0,0.0,26.75,
39,1383149733319,1383149733319,100.0,0.0,26.75,
40,1383149733319,1383149733319,100.0,0.0,26.75,
41,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
42,1383149733319,1383149733319,100.0,0.0,26.75,
43,1383149733319,1383149733319,100.0,0.0,26.75,
44,1383149733319,1383149733319,100.0,0.0,26.75,
45,1383149733319,1383149733319,100.0,0.0,26.75,
46,1383149733319,1383149733319,100.0,0.0,26.75,
47,1383149733319,1383149733319,100.0,0.0,26.75,
48,1383149733319,1383149733319,100.0,0.0,26.75,
49,1383149733319,1383149733319,100.0,0.0,26.75,
50,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
51,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
52,1383149733319,1383149733319,100.0,0.0,26.75,
53,1383149733319,1383149733319,100.0,0.0,26.75,
54,1383149733319,1383149733319,100.0,0.0,26.75,
55,1383149733319,1383149733319,100.0,0.0,26.75,
56,1383149733319,1383149733319,100.0,0.0,26.75,
57,1383149733319,1383149733319,100.0,0.0,26.75,
58,1383149733319,1383149733319,100.0,0.0,26.75,
59,1383149733319,1383149733319,100.0,0.0,26.75,
60,1383149733319,1383149733319,100.0,0.0,26.75,
61,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
62,1383149733319,1383149733319,100.0,0.0,26.75,
63,1383149733319,1383149733319,100.0,0.0,26.75,
64,1383149733319,1383149733319,100.0,0.0,26.75,
65,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
66,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
67,1383149733319,1383149733319,100.0,0.0,26.75,
68,1383149733319,1383149733319,100.0,0.0,26.75,
69,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
70,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
71,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
72,1383149733319,1383149733319,100.0,0.0,26.75,
73,1383149733319,1383149733319,100.0,0.0,26.75,
74,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
75,1383149733319,1383149733319,100.0,0.0,26.75,
76,1383149733319,1383149733319,100.0,0.0,26.75,
77,1383149733319,1383149733319,100.0,0.0,26.75,
78,1383149733319,1383149733319,100.0,0.0,26.75,
79,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
80,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
81,1383149733319,1383149733319,100.0,0.0,26.75,
82,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
83,1383149733319,1383149733319,100.0,0.0,26.75,
84,1383149733319,1383149733319,100.0,0.0,26.75,
85,1383149733319,1383149733319,100.0,0.0,26.75,
86,1383149733319,1383149733319,100.0,0.0,26.75,
87,1383149733319,1383149733319,100.0,0.0,26.749999999999996,
88,1383149733319,1383149733319,100.0,0.0,26.75,
89,1383149733319,1383149733319,100.0,0.0,26.75,
90,1383149733319,1383149733319,100.0,0.0,26.75,
91,1383149733319,1383149733319,100.0,0.0,26.75,
92,1383149733319,1383149733319,100.0,0.0,26.75,
93,1383149733319,1383149733319,100.0,0.0,26.75,
94,1383149733319,1383149733319,100.0,0.0,26.75,
95,1383149733319,1383149733319,100.0,0.0,26.75,
96,1383149733319,1383149733319,100.0,0.0,26.75,
97,1383149733319,1383149733319,100.0,0.0,26.75,
98,1383149733319,1383149733319,100.0,0.0,26.75,
99,1383149733319,1383149733319,100.0,0.0,26.75,
