generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.Max_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.Min_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.ParetoMean_pareto,
0,1383044993904,1383044993904,100.0,0.0,33.333333333333336,
1,1383044993904,1383044993904,100.0,0.0,31.277777777777775,
2,1383044993904,1383044993904,100.0,0.0,29.0,
3,1383044993904,1383044993904,100.0,0.0,26.666666666666668,
4,1383044993904,1383044993904,100.0,0.0,26.66666666666666,
5,1383044993904,1383044993904,100.0,0.0,26.5,
6,1383044993904,1383044993904,100.0,0.0,26.5,
7,1383044993904,1383044993904,100.0,0.0,26.5,
8,1383044993904,1383044993904,100.0,0.0,26.5,
9,1383044993904,1383044993904,100.0,0.0,26.5,
10,1383044993904,1383044993904,100.0,0.0,26.5,
11,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
12,1383044993904,1383044993904,100.0,0.0,26.5,
13,1383044993904,1383044993904,100.0,0.0,26.5,
14,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
15,1383044993904,1383044993904,100.0,0.0,26.5,
16,1383044993904,1383044993904,100.0,0.0,26.5,
17,1383044993904,1383044993904,100.0,0.0,26.5,
18,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
19,1383044993904,1383044993904,100.0,0.0,26.5,
20,1383044993904,1383044993904,100.0,0.0,26.5,
21,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
22,1383044993904,1383044993904,100.0,0.0,26.5,
23,1383044993904,1383044993904,100.0,0.0,26.5,
24,1383044993904,1383044993904,100.0,0.0,26.5,
25,1383044993904,1383044993904,100.0,0.0,26.5,
26,1383044993904,1383044993904,100.0,0.0,26.5,
27,1383044993904,1383044993904,100.0,0.0,26.5,
28,1383044993904,1383044993904,100.0,0.0,26.5,
29,1383044993904,1383044993904,100.0,0.0,26.5,
30,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
31,1383044993904,1383044993904,100.0,0.0,26.5,
32,1383044993904,1383044993904,100.0,0.0,26.5,
33,1383044993904,1383044993904,100.0,0.0,26.5,
34,1383044993904,1383044993904,100.0,0.0,26.5,
35,1383044993904,1383044993904,100.0,0.0,26.5,
36,1383044993904,1383044993904,100.0,0.0,26.5,
37,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
38,1383044993904,1383044993904,100.0,0.0,26.5,
39,1383044993904,1383044993904,100.0,0.0,26.5,
40,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
41,1383044993904,1383044993904,100.0,0.0,26.5,
42,1383044993904,1383044993904,100.0,0.0,26.5,
43,1383044993904,1383044993904,100.0,0.0,26.5,
44,1383044993904,1383044993904,100.0,0.0,26.5,
45,1383044993904,1383044993904,100.0,0.0,26.5,
46,1383044993904,1383044993904,100.0,0.0,26.5,
47,1383044993904,1383044993904,100.0,0.0,26.5,
48,1383044993904,1383044993904,100.0,0.0,26.5,
49,1383044993904,1383044993904,100.0,0.0,26.5,
50,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
51,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
52,1383044993904,1383044993904,100.0,0.0,26.5,
53,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
54,1383044993904,1383044993904,100.0,0.0,26.5,
55,1383044993904,1383044993904,100.0,0.0,26.5,
56,1383044993904,1383044993904,100.0,0.0,26.5,
57,1383044993904,1383044993904,100.0,0.0,26.5,
58,1383044993904,1383044993904,100.0,0.0,26.5,
59,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
60,1383044993904,1383044993904,100.0,0.0,26.5,
61,1383044993904,1383044993904,100.0,0.0,26.5,
62,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
63,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
64,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
65,1383044993904,1383044993904,100.0,0.0,26.5,
66,1383044993904,1383044993904,100.0,0.0,26.5,
67,1383044993904,1383044993904,100.0,0.0,26.5,
68,1383044993904,1383044993904,100.0,0.0,26.5,
69,1383044993904,1383044993904,100.0,0.0,26.5,
70,1383044993904,1383044993904,100.0,0.0,26.5,
71,1383044993904,1383044993904,100.0,0.0,26.5,
72,1383044993904,1383044993904,100.0,0.0,26.5,
73,1383044993904,1383044993904,100.0,0.0,26.5,
74,1383044993904,1383044993904,100.0,0.0,26.5,
75,1383044993904,1383044993904,100.0,0.0,26.5,
76,1383044993904,1383044993904,100.0,0.0,26.5,
77,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
78,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
79,1383044993904,1383044993904,100.0,0.0,26.5,
80,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
81,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
82,1383044993904,1383044993904,100.0,0.0,26.5,
83,1383044993904,1383044993904,100.0,0.0,26.5,
84,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
85,1383044993904,1383044993904,100.0,0.0,26.5,
86,1383044993904,1383044993904,100.0,0.0,26.5,
87,1383044993904,1383044993904,100.0,0.0,26.5,
88,1383044993904,1383044993904,100.0,0.0,26.5,
89,1383044993904,1383044993904,100.0,0.0,26.5,
90,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
91,1383044993904,1383044993904,100.0,0.0,26.499999999999996,
92,1383044993904,1383044993904,100.0,0.0,26.5,
93,1383044993904,1383044993904,100.0,0.0,26.5,
94,1383044993904,1383044993904,100.0,0.0,26.5,
95,1383044993904,1383044993904,100.0,0.0,26.5,
96,1383044993904,1383044993904,100.0,0.0,26.5,
97,1383044993904,1383044993904,100.0,0.0,26.5,
98,1383044993904,1383044993904,100.0,0.0,26.5,
99,1383044993904,1383044993904,100.0,0.0,26.5,
