generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.Max_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.Min_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.ParetoMean_pareto,
1,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
1,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
1,1381915159261,1381915159261,0.0,0.0,20.333333333333332,
2,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
2,1381915159261,1381915159261,100.0,100.0,33.0,
2,1381915159261,1381915159261,66.66666666666666,66.66666666666666,28.555555555555554,
3,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
3,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
4,1381915159261,1381915159261,100.0,100.0,33.0,
4,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
5,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
5,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
6,1381915159261,1381915159261,100.0,100.0,33.0,
6,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
7,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
7,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
8,1381915159261,1381915159261,100.0,100.0,33.0,
8,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
9,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
9,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
10,1381915159261,1381915159261,100.0,100.0,33.0,
10,1381915159261,1381915159261,66.66666666666666,66.66666666666666,29.222222222222218,
11,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
12,1381915159261,1381915159261,100.0,100.0,33.0,
13,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
14,1381915159261,1381915159261,100.0,100.0,33.0,
15,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
16,1381915159261,1381915159261,100.0,100.0,33.0,
17,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
18,1381915159261,1381915159261,100.0,100.0,33.0,
19,1381915159261,1381915159261,33.33333333333333,33.33333333333333,24.777777777777775,
20,1381915159261,1381915159261,100.0,100.0,33.0,
