generation,startTime,endTime,org.kevoree.modeling.optimization.executionmodel.Max_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.Min_CloudRedondencyFitness_CloudRedondencyFitness,org.kevoree.modeling.optimization.executionmodel.ParetoMean_pareto,
0,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
1,1383746009207,1383746009207,1.0,0.0,0.335,
2,1383746009207,1383746009207,1.0,0.0,0.33555555555555555,
3,1383746009207,1383746009207,1.0,0.0,0.33555555555555555,
4,1383746009207,1383746009207,1.0,0.0,0.33499999999999996,
5,1383746009207,1383746009207,1.0,0.0,0.33416666666666667,
6,1383746009207,1383746009207,1.0,0.0,0.33416666666666667,
7,1383746009207,1383746009207,1.0,0.0,0.3346666666666667,
8,1383746009207,1383746009207,1.0,0.0,0.33399999999999996,
9,1383746009207,1383746009207,1.0,0.0,0.33444444444444443,
10,1383746009207,1383746009207,1.0,0.0,0.33428571428571424,
11,1383746009207,1383746009207,1.0,0.0,0.33428571428571424,
12,1383746009207,1383746009207,1.0,0.0,0.3345833333333333,
13,1383746009207,1383746009207,1.0,0.0,0.33444444444444443,
14,1383746009207,1383746009207,1.0,0.0,0.3340740740740741,
15,1383746009207,1383746009207,1.0,0.0,0.3340740740740741,
16,1383746009207,1383746009207,1.0,0.0,0.3340740740740741,
17,1383746009207,1383746009207,1.0,0.0,0.33399999999999996,
18,1383746009207,1383746009207,1.0,0.0,0.33399999999999996,
19,1383746009207,1383746009207,1.0,0.0,0.33424242424242423,
20,1383746009207,1383746009207,1.0,0.0,0.3339393939393939,
21,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
22,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
23,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
24,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
25,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
26,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
27,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
28,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
29,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
30,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
31,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
32,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
33,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
34,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
35,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
36,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
37,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
38,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
39,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
40,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
41,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
42,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
43,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
44,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
45,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
46,1383746009207,1383746009207,1.0,0.0,0.3339393939393939,
47,1383746009207,1383746009207,1.0,0.0,0.3339393939393939,
48,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
49,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
50,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
51,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
52,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
53,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
54,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
55,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
56,1383746009207,1383746009207,1.0,0.0,0.33366666666666667,
57,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
58,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
59,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
60,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
61,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
62,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
63,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
64,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
65,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
66,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
67,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
68,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
69,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
70,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
71,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
72,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
73,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
74,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
75,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
76,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
77,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
78,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
79,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
80,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
81,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
82,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
83,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
84,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
85,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
86,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
87,1383746009207,1383746009207,1.0,0.0,0.3336363636363636,
88,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
89,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
90,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
91,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
92,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
93,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
94,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
95,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
96,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
97,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
98,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
99,1383746009207,1383746009207,1.0,0.0,0.3333333333333333,
